Date,Open,High,Low,Close
03/12/2025,"17,711.41","17,800.10","17,436.27","17,648.45"
03/11/2025,"17,443.09","17,687.40","17,238.24","17,436.10"
03/10/2025,"17,840.32","17,868.07","17,291.82","17,468.32"
03/07/2025,"18,029.85","18,243.58","17,768.59","18,196.22"
03/06/2025,"18,204.53","18,439.24","17,980.39","18,069.26"
03/05/2025,"18,312.97","18,604.47","18,144.73","18,552.73"
03/04/2025,"18,176.43","18,589.49","17,956.60","18,285.16"
03/03/2025,"18,923.36","18,992.30","18,216.63","18,350.19"
02/28/2025,"18,477.17","18,861.33","18,372.99","18,847.28"
02/27/2025,"19,212.36","19,242.69","18,535.23","18,544.42"
02/26/2025,"19,109.32","19,286.02","18,966.46","19,075.26"
02/25/2025,"19,242.61","19,256.35","18,871.52","19,026.39"
02/24/2025,"19,590.85","19,644.23","19,275.46","19,286.92"
02/21/2025,"20,006.69","20,016.66","19,510.91","19,524.01"
02/20/2025,"20,029.19","20,041.15","19,795.02","19,962.36"
02/19/2025,"19,994.50","20,099.39","19,928.90","20,056.25"
02/18/2025,"20,090.56","20,110.12","19,909.74","20,041.26"
02/14/2025,"19,956.82","20,045.76","19,932.15","20,026.77"
02/13/2025,"19,696.92","19,952.17","19,675.87","19,945.64"
02/12/2025,"19,436.51","19,682.51","19,415.48","19,649.95"
02/11/2025,"19,602.11","19,731.93","19,579.77","19,643.86"
02/10/2025,"19,668.18","19,772.04","19,650.79","19,714.27"
02/07/2025,"19,774.87","19,862.55","19,489.36","19,523.40"
02/06/2025,"19,725.83","19,793.36","19,654.11","19,791.99"
02/05/2025,"19,533.05","19,696.94","19,498.90","19,692.33"
02/04/2025,"19,422.17","19,666.44","19,408.18","19,654.02"
02/03/2025,"19,215.38","19,502.13","19,141.15","19,391.96"
01/31/2025,"19,832.33","19,969.17","19,575.21","19,627.44"
01/30/2025,"19,697.53","19,785.79","19,483.83","19,681.75"
01/29/2025,"19,695.68","19,699.82","19,479.51","19,632.32"
01/28/2025,"19,418.22","19,759.43","19,294.62","19,733.59"
01/27/2025,"19,234.04","19,514.35","19,204.95","19,341.83"
01/24/2025,"20,087.11","20,118.61","19,897.14","19,954.30"
01/23/2025,"19,906.99","20,053.68","19,892.55","20,053.68"
01/22/2025,"19,903.05","20,068.52","19,903.05","20,009.34"
01/21/2025,"19,734.39","19,789.63","19,551.17","19,756.78"
01/17/2025,"19,655.55","19,709.64","19,543.32","19,630.20"
01/16/2025,"19,573.87","19,579.85","19,335.68","19,338.29"
01/15/2025,"19,350.31","19,548.90","19,299.32","19,511.23"
01/14/2025,"19,207.75","19,273.14","18,926.60","19,044.39"
01/13/2025,"18,903.66","19,099.97","18,831.91","19,088.10"
01/10/2025,"19,312.26","19,315.11","19,018.75","19,161.63"
01/08/2025,"19,469.36","19,544.50","19,308.54","19,478.88"
01/07/2025,"19,938.08","19,940.21","19,421.02","19,489.68"
01/06/2025,"19,851.99","20,007.95","19,784.99","19,864.98"
01/03/2025,"19,395.51","19,638.66","19,379.57","19,621.68"
01/02/2025,"19,403.90","19,517.87","19,117.59","19,280.79"
12/31/2024,"19,551.36","19,563.72","19,283.41","19,310.79"
12/30/2024,"19,460.41","19,622.93","19,342.51","19,486.78"
12/27/2024,"19,896.77","19,904.77","19,553.40","19,722.03"
12/26/2024,"19,979.25","20,070.08","19,888.11","20,020.36"
12/24/2024,"19,818.48","20,031.13","19,813.76","20,031.13"
12/23/2024,"19,641.05","19,772.10","19,504.68","19,764.89"
12/20/2024,"19,190.04","19,758.61","19,168.38","19,572.60"
12/19/2024,"19,565.66","19,623.02","19,357.76","19,372.77"
12/18/2024,"20,114.98","20,179.77","19,336.59","19,392.69"
12/17/2024,"20,095.62","20,148.83","20,004.73","20,109.06"
12/16/2024,"20,016.12","20,204.58","19,988.12","20,173.89"
12/13/2024,"19,995.18","20,061.65","19,817.47","19,926.72"
12/12/2024,"19,947.34","20,018.24","19,897.39","19,902.84"
12/11/2024,"19,832.96","20,055.93","19,830.64","20,034.89"
12/10/2024,"19,796.39","19,887.08","19,641.34","19,687.24"
12/09/2024,"19,824.09","19,872.79","19,698.05","19,736.69"
12/06/2024,"19,743.96","19,863.15","19,734.42","19,859.77"
12/05/2024,"19,756.40","19,790.03","19,688.59","19,700.72"
12/04/2024,"19,587.48","19,741.76","19,575.40","19,735.12"
12/03/2024,"19,364.34","19,486.15","19,340.41","19,480.91"
12/02/2024,"19,255.43","19,436.92","19,255.43","19,403.95"
11/29/2024,"19,087.47","19,245.49","19,066.52","19,218.17"
11/27/2024,"19,132.99","19,133.11","18,937.20","19,060.48"
11/26/2024,"19,109.08","19,184.40","19,100.73","19,174.30"
11/25/2024,"19,140.59","19,208.68","18,969.35","19,054.84"
11/22/2024,"18,966.32","19,025.77","18,899.48","19,003.65"
11/21/2024,"19,072.78","19,110.89","18,714.06","18,972.42"
11/20/2024,"18,971.31","18,974.91","18,724.39","18,966.14"
11/19/2024,"18,699.71","18,992.08","18,689.83","18,987.47"
11/18/2024,"18,717.93","18,865.28","18,672.30","18,791.81"
11/15/2024,"18,929.92","18,936.75","18,598.87","18,680.12"
11/14/2024,"19,256.09","19,275.81","19,073.39","19,107.65"
11/13/2024,"19,286.46","19,358.48","19,191.13","19,230.73"
11/12/2024,"19,289.81","19,343.05","19,168.52","19,281.40"
11/11/2024,"19,355.34","19,366.07","19,193.29","19,298.76"
11/08/2024,"19,255.14","19,318.56","19,224.43","19,286.78"
11/07/2024,"19,084.43","19,301.70","19,084.43","19,269.46"
11/06/2024,"18,772.76","19,000.50","18,730.21","18,983.47"
11/05/2024,"18,250.71","18,449.68","18,250.71","18,439.17"
11/04/2024,"18,220.43","18,308.30","18,112.83","18,179.98"
11/01/2024,"18,189.67","18,363.94","18,181.53","18,239.92"
10/31/2024,"18,427.31","18,427.31","18,083.95","18,095.15"
10/30/2024,"18,731.69","18,785.49","18,598.24","18,607.93"
10/29/2024,"18,576.09","18,753.19","18,509.59","18,712.75"
10/28/2024,"18,648.25","18,671.01","18,563.02","18,567.19"
10/25/2024,"18,512.58","18,690.01","18,487.06","18,518.61"
10/24/2024,"18,384.15","18,435.37","18,305.42","18,415.49"
10/23/2024,"18,502.06","18,509.19","18,146.61","18,276.65"
10/22/2024,"18,451.86","18,620.71","18,413.47","18,573.13"
10/21/2024,"18,456.48","18,543.58","18,377.63","18,540.00"
10/18/2024,"18,466.01","18,524.33","18,452.58","18,489.55"
10/17/2024,"18,537.21","18,541.46","18,368.80","18,373.61"
10/16/2024,"18,333.29","18,383.11","18,214.96","18,367.08"
10/15/2024,"18,515.97","18,564.25","18,252.52","18,315.59"
10/14/2024,"18,426.66","18,547.91","18,423.60","18,502.69"
10/11/2024,"18,217.73","18,375.53","18,208.44","18,342.94"
10/10/2024,"18,200.62","18,333.39","18,154.18","18,282.05"
